group,file,property,domain,expected,result,status,suff_conditions,leaves,time_s,analyzer_time,vulnerability
atl/,tests/atl/classic/matching_pennies.c,<p1>F{gain1 == 1},polyhedra,UNKNOWN,UNKNOWN,UNKNOWN,1,3,0.458,0.333401000001,Not analyzed
atl/,tests/atl/classic/matching_pennies.c,"<p1,p2>F{gain1 == 1}",polyhedra,TRUE,TRUE,TRUE,3,3,0.461,0.330872000001,Not analyzed
atl/,tests/atl/classic/nim.c,<me>F{win == 0},boxes,TRUE,UNKNOWN,UNKNOWN,1,3,1.686,1.56577300001,Not analyzed
atl/,tests/atl/classic/robots_carriage.c,<r1>F{pos == 1},polyhedra,UNKNOWN,UNKNOWN,UNKNOWN,1,3,0.807,0.685738000001,Not analyzed
atl/,tests/atl/classic/robots_carriage.c,"<r1,r2>F{pos == 1}",polyhedra,TRUE,TRUE,TRUE,3,3,0.841,0.699020000001,Not analyzed
atl/,tests/atl/classic/robots_carriage.c,"<r1,r2>F{<r1,r2>G{pos == 1}}",polyhedra,TRUE,TRUE,TRUE,3,3,1.226,1.04746500001,Not analyzed
atl/,tests/atl/classic/train_gate_one.c,<>G{OR{q==0}{<ctrl>G{out_of_gate:true}}},polyhedra,TRUE,UNKNOWN,UNKNOWN,0,3,0.385,0.218966000001,Not analyzed
atl/,tests/atl/classic/train_gate_one.c,"<>G{OR{in_gate:true}{<ctrl,train>F{in_gate:true}}}",polyhedra,TRUE,UNKNOWN,UNKNOWN,0,1,0.399,0.283885,Not analyzed
atl/,tests/atl/classic/train_gate_one.c,<>G{OR{in_gate:true}{NOT{<train>F{in_gate:true}}}},polyhedra,TRUE,UNKNOWN,UNKNOWN,0,1,0.541,0.414109000001,Not analyzed
atl/,tests/atl/classic/train_gate_one.c,<>G{OR{in_gate:true}{AND{<train>F{AND{request:true}{<ctrl>F{grant:true}}}}{NOT{<train>F{q != 2}}}}},polyhedra,TRUE,UNKNOWN,UNKNOWN,0,3,0.822,0.621243,Not analyzed
atl/,tests/atl/ctl/existential_test1_combination_1.c,"<env,adv>F{r == 1}",polyhedra,-,UNKNOWN,UNKNOWN,1,3,0.278,0.118784000001,Not analyzed
atl/,tests/atl/ctl/existential_test1_combination_1.c,<env>F{r == 1},polyhedra,-,UNKNOWN,UNKNOWN,1,3,0.395,0.114813000001,Not analyzed
atl/,tests/atl/ctl/existential_test1_combination_1.c,<adv>F{r == 1},polyhedra,-,UNKNOWN,UNKNOWN,1,3,0.271,0.116252000001,Not analyzed
atl/,tests/atl/ctl/existential_test1_combination_2.c,"<env,adv>F{r == 1}",polyhedra,-,UNKNOWN,UNKNOWN,1,3,0.252,0.106298000001,Not analyzed
